asked_more_time,complete_order,coupon_used,details,details.asked_more_time,details.complete_order,details.coupon_used,details.feedback,details.gpt_price,details.issues,details.items_addon_success,details.items_addonable,details.items_after,details.items_initial,details.items_upsellable,details.items_upsize_success,details.items_upsizeable,details.items_upsold,details.mobile_order,details.num_addon_offers,details.num_addon_opportunities,details.num_addon_success,details.num_items_after,details.num_items_initial,details.num_largest_offers,details.num_upsell_offers,details.num_upsell_opportunities,details.num_upsell_success,details.num_upsize_offers,details.num_upsize_opportunities,details.num_upsize_success,details.out_of_stock_items,details.reasoning_summary,details.video_file_path,details.video_link,feedback,gpt_price,issues,items_addon_success,items_addonable,items_after,items_initial,items_upsellable,items_upsize_success,items_upsizeable,items_upsold,mobile_order,num_addon_offers,num_addon_opportunities,num_addon_success,num_items_after,num_items_initial,num_largest_offers,num_upsell_offers,num_upsell_opportunities,num_upsell_success,num_upsize_offers,num_upsize_opportunities,num_upsize_success,out_of_stock_items,reasoning_summary,score,transaction_id,transcript,upsell_offered,upsell_possible,upsize_offered,upsize_possible,video_file_path,video_link
0,1,0,,0,1,0,"Customer clearly requested a medium Blizzard, so no upsell or upsize chances existed. One valid opportunity remained to suggest additional mix-ins or toppings for the Blizzard, but the operator did not offer it. Encourage offering an extra mix-in or topping when a Blizzard is ordered to increase ticket average.",0,"Minor ambiguity on whether selected mix-ins count as additions, but guidelines treat all Blizzards as having one chance for extra toppings, so counted one additional-topping opportunity. No other conflicts.",0,Extra Blizzard mix-in topping,"Medium Blizzard (Chocolate Ice Cream, Chocolate Chunk, Peanuts)","Medium Blizzard (Chocolate Ice Cream, Chocolate Chunk, Peanuts)",0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,,,,"Customer clearly requested a medium Blizzard, so no upsell or upsize chances existed. One valid opportunity remained to suggest additional mix-ins or toppings for the Blizzard, but the operator did not offer it. Encourage offering an extra mix-in or topping when a Blizzard is ordered to increase ticket average.",40.254,"Minor ambiguity on whether selected mix-ins count as additions, but guidelines treat all Blizzards as having one chance for extra toppings, so counted one additional-topping opportunity. No other conflicts.",0,Extra Blizzard mix-in topping,"Medium Blizzard (Chocolate Ice Cream, Chocolate Chunk, Peanuts)","Medium Blizzard (Chocolate Ice Cream, Chocolate Chunk, Peanuts)",0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,,0.0,4561954e-f7e7-47f7-8c77-734be501efd8,"Operator: So, medium blizzard, you said chocolate ice cream, chocolate chunk, and peanuts?
Customer: Yes.
Operator: Alright, anything else?
Customer: That's all.
Operator: Okay, it's going to be $27.44. Would you like to round up to note in a pocket?
Customer: Sure.
Operator: Thank you, we appreciate it. It's going to be $28 even.
Customer: Thank you.
Operator: You're welcome.",False,False,False,False,,
0,1,0,,0,1,0,"Operator correctly spotted the single upsize chance and offered the large size using valid phrasing, earning one offer credit. Customer chose small, so no successful upsizing. No upsell offers were possible with this item and none were attempted, which is appropriate. However, operator missed one additional-topping opportunity (sprinkles) that could have increased ticket and guest satisfaction.",0,Treated chocolate soft serve in a cup as a cone item since no explicit menu item exists; assumed sprinkles as standard topping option for cones.,0,Sprinkles,Small Chocolate Soft Serve Cup (Cone),"Chocolate Soft Serve Cup (Cone, No Size)",0,0,Chocolate Soft Serve Cup (Cone),0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,,,,"Operator correctly spotted the single upsize chance and offered the large size using valid phrasing, earning one offer credit. Customer chose small, so no successful upsizing. No upsell offers were possible with this item and none were attempted, which is appropriate. However, operator missed one additional-topping opportunity (sprinkles) that could have increased ticket and guest satisfaction.",43.216,Treated chocolate soft serve in a cup as a cone item since no explicit menu item exists; assumed sprinkles as standard topping option for cones.,0,Sprinkles,Small Chocolate Soft Serve Cup (Cone),"Chocolate Soft Serve Cup (Cone, No Size)",0,0,Chocolate Soft Serve Cup (Cone),0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,,1.0,688d3bd7-a8f9-4b17-aafc-def5854a2765,"Operator: It's a wonderful day at Dairy Queen, how can we make it yours?
Customer: Hi there, I want to get a chocolate soft serve in a cup.
Operator: Okay, would that be a large cup?
Customer: No, what's your sizes for that?
Operator: We have kids, small, medium, and large.
Customer: I'll do a small.
Operator: Got it, anything else?
Customer: That's it.
Operator: Alright, so it's going to be $2.70. Would you like to round up to note in a pocket?
Customer: Yes.
Operator: Thank you, we appreciate it. It's going to be $3 even.
Customer: Thank you.
Operator: You're welcome.",False,False,True,True,,
0,1,0,,0,1,0,"The customer ordered a cone without specifying a size, creating one valid chance to upsize to a large cone and one potential add-on chance for sprinkles. The operator asked an open question about size instead of specifically suggesting a large; per guidelines this is an invalid upsizing offer and therefore does not count toward offers made or largest-size offers. No upselling opportunities existed for a single cone, and no additional-topping offer was attempted. Overall, the operator missed the single valid upsizing and topping opportunities and provided unclear guidance on size, leading to a poor use of suggestive selling.",0,"Ambiguity on how to label the customer’s request for two scoops of chocolate; interpreted as a standard cone (no size) because two-scoop cones are not on menu. Uncertainty whether asking ‘kid’s, small, medium, or large?’ should be tallied as an upsizing offer; followed rule stating such phrasing is invalid and therefore not counted.",0,Sprinkles,Cone (No Size),Cone (No Size),0,0,Cone,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,,,,"The customer ordered a cone without specifying a size, creating one valid chance to upsize to a large cone and one potential add-on chance for sprinkles. The operator asked an open question about size instead of specifically suggesting a large; per guidelines this is an invalid upsizing offer and therefore does not count toward offers made or largest-size offers. No upselling opportunities existed for a single cone, and no additional-topping offer was attempted. Overall, the operator missed the single valid upsizing and topping opportunities and provided unclear guidance on size, leading to a poor use of suggestive selling.",43.472,"Ambiguity on how to label the customer’s request for two scoops of chocolate; interpreted as a standard cone (no size) because two-scoop cones are not on menu. Uncertainty whether asking ‘kid’s, small, medium, or large?’ should be tallied as an upsizing offer; followed rule stating such phrasing is invalid and therefore not counted.",0,Sprinkles,Cone (No Size),Cone (No Size),0,0,Cone,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,,0.0,33d204b4-6d8e-4847-b216-3cec44696dfe,"Operator: Good wonderful day at Dairy Queen, how can we make it yours?
Customer: I would like an ice cream cone with two scoops of chocolate, obviously.
Operator: I'm sorry, did you want a kid's, small, medium, or large?
Customer: I wanted an ice cream cone, the regular ice cream cone with two scoops of chocolate.
Operator: We don't do two scoops, that's why I was asking.
Customer: Yes, you do. I've had it here before.
Operator: Alright, you can come to the window.
Customer: Thanks.",False,False,False,True,,
1,1,0,,1,1,0,"Operator accurately captured the order and confirmed sauce preference but failed to attempt any valid upsell or upsize offers. No offer to add a drink or convert items into a combo, no invitation to upgrade the cheese curds or shakes to large sizes, and no suggestion of extra malt or toppings for the shakes. Overall, missed every potential revenue-building opportunity.",0,"Unclear if offering ranch/blue cheese/marinara for cheese curds constitutes a chargeable upsell; table limits dipping-sauce upsell to fries or chicken baskets, so it was excluded. Uncertainty whether a shake qualifies as an any-size drink in 2-for-$5; treated as not applicable.",0,"Medium Maple Cookie Shake, Medium Maple Cookie Shake","Medium Maple Cookie Shake, Medium Maple Cookie Shake, Small Cheese Curds","Medium Maple Cookie Shake, Medium Maple Cookie Shake, Small Cheese Curds",0,0,0,0,0,0,2,0,3,3,0,0,0,0,0,0,0,0,,,,"Operator accurately captured the order and confirmed sauce preference but failed to attempt any valid upsell or upsize offers. No offer to add a drink or convert items into a combo, no invitation to upgrade the cheese curds or shakes to large sizes, and no suggestion of extra malt or toppings for the shakes. Overall, missed every potential revenue-building opportunity.",51.352000000000004,"Unclear if offering ranch/blue cheese/marinara for cheese curds constitutes a chargeable upsell; table limits dipping-sauce upsell to fries or chicken baskets, so it was excluded. Uncertainty whether a shake qualifies as an any-size drink in 2-for-$5; treated as not applicable.",0,"Medium Maple Cookie Shake, Medium Maple Cookie Shake","Medium Maple Cookie Shake, Medium Maple Cookie Shake, Small Cheese Curds","Medium Maple Cookie Shake, Medium Maple Cookie Shake, Small Cheese Curds",0,0,0,0,0,0,2,0,3,3,0,0,0,0,0,0,0,0,,0.0,f51661b3-d6ca-4c65-acec-85d8efc95a39,"Operator: It's a wonderful day at Dairy Queen, how can we make it yours?
Customer: Hey, can I get a medium maple cookie shake?
Operator: Give me one second.
Customer: Okay.
Operator: Okay, anything else?
Customer: Actually, can you make two of those?
Operator: Yes, you can.
Customer: And then one small order of cheese curds.
Operator: All right, and for the cheese curds, would you like ranch, blue cheese, or marinara?
Customer: Ranch is fine.
Operator: Okay. Anything else?
Customer: That's it.
Operator: All right, it's going to be $14.69. Would you like to round up to a note in the pocket?
Customer: Sure.
Operator: Thank you, we appreciate that. That's going to be $15 even.
Customer: Thank you.
Operator: You're welcome.",False,False,False,False,,
0,1,0,,0,1,0,"Customer specified a medium size for the Snickers Blizzard, eliminating any upsizing opportunity. Blizzards do not carry burger type upsell paths, so no upsell chance existed. There was one valid chance to offer an extra Blizzard topping which the operator did not attempt. Apart from quickly providing the total, the operator missed the only suggestive selling opportunity in this transaction.",0,"The menu JSON lists an add on chance for Blizzards as primary topping or ingredient but the additional topping scenario list was blank, so applied the menu JSON data for the topping chance.",0,Extra primary topping for Blizzard,Medium Snickers Blizzard,Medium Snickers Blizzard,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,,,,"Customer specified a medium size for the Snickers Blizzard, eliminating any upsizing opportunity. Blizzards do not carry burger type upsell paths, so no upsell chance existed. There was one valid chance to offer an extra Blizzard topping which the operator did not attempt. Apart from quickly providing the total, the operator missed the only suggestive selling opportunity in this transaction.",39.436,"The menu JSON lists an add on chance for Blizzards as primary topping or ingredient but the additional topping scenario list was blank, so applied the menu JSON data for the topping chance.",0,Extra primary topping for Blizzard,Medium Snickers Blizzard,Medium Snickers Blizzard,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,,0.0,cf1e230d-70d9-4404-995e-99e4037f41a5,"Operator: The wonderful day at Dairy Queen, how can we make it yours?
Customer: Let me get a medium Snickers Blizzard blended extra smoothly. That's it.
Operator: Oh, I'm sorry, my mic wasn't on. The total is going to be $6.05.",False,False,False,False,,
0,1,0,,0,1,0,"Operator greeted politely and accurately took and repeated the customer’s order. Because the customer specified a medium size, there was no valid upsizing chance, and Blizzard items have no upsell to meals. However, Blizzards do allow an add-on topping opportunity (extra mix-ins or sauces), which the operator did not offer, resulting in one missed incremental sales chance. Recommend offering an extra topping such as additional Reese’s pieces or hot fudge to maximize ticket value in future interactions.",0,"No significant ambiguities; transcript was clear with one item ordered and explicit size specified, leading to zero upsell/upsize chances but one additional topping opportunity.",0,Additional Blizzard Topping,Medium Reese's Peanut Butter Cup Blizzard,Medium Reese's Peanut Butter Cup Blizzard,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,,,,"Operator greeted politely and accurately took and repeated the customer’s order. Because the customer specified a medium size, there was no valid upsizing chance, and Blizzard items have no upsell to meals. However, Blizzards do allow an add-on topping opportunity (extra mix-ins or sauces), which the operator did not offer, resulting in one missed incremental sales chance. Recommend offering an extra topping such as additional Reese’s pieces or hot fudge to maximize ticket value in future interactions.",37.65,"No significant ambiguities; transcript was clear with one item ordered and explicit size specified, leading to zero upsell/upsize chances but one additional topping opportunity.",0,Additional Blizzard Topping,Medium Reese's Peanut Butter Cup Blizzard,Medium Reese's Peanut Butter Cup Blizzard,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,,0.0,57da9eff-ae8f-4a8e-a7e8-ce3231c4f5eb,"Operator: Wonderful day at Dairy Queen, how can we make it yours?
Customer: Hi, I'd like a medium blizzard with Reese's peanut butter cups.
Operator: I'm sorry, say that one more time please?
Customer: A medium blizzard with Reese's peanut butter cups.
Operator: Got it, can I get you anything else?
Customer: That's it.
Operator: Alright, so it's going to be $6.05.
Customer: Thank you.
Operator: You're welcome.",False,False,False,False,,
0,1,0,,0,1,0,"Operator accurately took the order and confirmed the total but missed two extra-topping opportunities: offering a double dip for the cone and mix-in extras for the Blizzard. No valid upsell or upsize chances existed because the ordered items are not on an upsell list and the customer specified small sizes, so the lack of upsell or upsize offers did not violate policy. Donation roundup prompt is not counted toward suggestive selling metrics. To improve, the operator should consistently offer add-ons where available, even when size is fixed or specified, to maximize ticket averages.",0,Ambiguity on whether extra toppings module is required despite empty official topping scenarios list; resolved by using JSON Add on Chance field to log topping opportunities.,0,"Small Royal New York Cheesecake Blizzard, Small Cherry Dipped Vanilla Cone","Small Royal New York Cheesecake Blizzard, Small Cherry Dipped Vanilla Cone","Small Royal New York Cheesecake Blizzard, Small Cherry Dipped Vanilla Cone",0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,,,,"Operator accurately took the order and confirmed the total but missed two extra-topping opportunities: offering a double dip for the cone and mix-in extras for the Blizzard. No valid upsell or upsize chances existed because the ordered items are not on an upsell list and the customer specified small sizes, so the lack of upsell or upsize offers did not violate policy. Donation roundup prompt is not counted toward suggestive selling metrics. To improve, the operator should consistently offer add-ons where available, even when size is fixed or specified, to maximize ticket averages.",44.112,Ambiguity on whether extra toppings module is required despite empty official topping scenarios list; resolved by using JSON Add on Chance field to log topping opportunities.,0,"Small Royal New York Cheesecake Blizzard, Small Cherry Dipped Vanilla Cone","Small Royal New York Cheesecake Blizzard, Small Cherry Dipped Vanilla Cone","Small Royal New York Cheesecake Blizzard, Small Cherry Dipped Vanilla Cone",0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,,0.0,f67d3b32-d754-4bfb-a0b3-dfb5f5b0c153,"Operator: The wonderful day at Dairy Queen, how can we make it yours?
Customer: Hi, can we get a small Royal New York Cheesecake Blizzard and a small vanilla cone dipped in cherry?
Operator: Okay.
Customer: And that will be it.
Operator: Alright, your total is going to be $9.29. Would you like to round up to note in a pocket?
Customer: No, thank you.
Operator: Okay, pull forward.",False,False,False,False,,
0,1,0,,0,1,0,Operator confirmed order clearly but made no topping suggestion on the Blizzard. Since blizzards allow extra mix-ins this was a missed revenue opportunity. Size was already specified so no upsize offer was appropriate. Donation ask does not count as upsell. Recommend consistently suggesting extra toppings or mix-ins on desserts when applicable.,0,No significant ambiguities encountered.,0,Medium Chocolate Chip Cookie Dough Blizzard,Medium Chocolate Chip Cookie Dough Blizzard,Medium Chocolate Chip Cookie Dough Blizzard,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,,,,Operator confirmed order clearly but made no topping suggestion on the Blizzard. Since blizzards allow extra mix-ins this was a missed revenue opportunity. Size was already specified so no upsize offer was appropriate. Donation ask does not count as upsell. Recommend consistently suggesting extra toppings or mix-ins on desserts when applicable.,41.268,No significant ambiguities encountered.,0,Medium Chocolate Chip Cookie Dough Blizzard,Medium Chocolate Chip Cookie Dough Blizzard,Medium Chocolate Chip Cookie Dough Blizzard,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,,0.0,f000f769-dd56-4b1a-846d-1e668e70a1ac,"Operator: Good morning, how can we make it yours?
Customer: Hi, could I have a medium chocolate chip cookie dough blizzard?
Operator: Chocolate chip cookie dough, okay. Anything else?
Customer: Nope.
Operator: Alright, your total is going to be $6.05. Would you like to round up to note in the pocket?
Customer: Sure.
Operator: Thank you, appreciate it. It's going to be $7 even.",False,False,False,False,,
0,1,0,,0,1,0,"No items were ordered during this transaction. Operator appropriately invited the customer to proceed to the window and maintained polite service. Because no products were requested, no upselling or upsizing chances existed and no offers were necessary.",0,"Customer referred to a prior order but provided no item details in this transcript, leaving nothing to log for items or selling opportunities; all counts set to zero accordingly.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"No items were ordered during this transaction. Operator appropriately invited the customer to proceed to the window and maintained polite service. Because no products were requested, no upselling or upsizing chances existed and no offers were necessary.",33.636,"Customer referred to a prior order but provided no item details in this transcript, leaving nothing to log for items or selling opportunities; all counts set to zero accordingly.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,47bd03c8-0bea-49d8-b1c4-7db54690ad60,"Operator: Good morning, how can we make it yours?
Customer: Hi, I was just here, I just ordered and I think I got, my credit card was declined, but I think I got it fixed. So is it still on my order?
Operator: Yeah, you can come to the window.
Customer: Alright, I'll be there.",False,False,False,False,,
0,1,0,,0,1,0,Operator was friendly and confirmed the order but missed the only suggestive-selling chance. A cone allows an add-on of sprinkles; this was not offered. No valid upsell or upsize chances existed because the customer already requested a large cone and cones are not part of combo or 2-for-5 scenarios. Recommend proactively offering sprinkles or dipped options to capture additional revenue and meet Dairy Queen selling guidelines.,0,No significant ambiguities encountered; transcript contained a single straightforward order.,0,Sprinkles,Large Vanilla Cone,Large Vanilla Cone,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,,,,Operator was friendly and confirmed the order but missed the only suggestive-selling chance. A cone allows an add-on of sprinkles; this was not offered. No valid upsell or upsize chances existed because the customer already requested a large cone and cones are not part of combo or 2-for-5 scenarios. Recommend proactively offering sprinkles or dipped options to capture additional revenue and meet Dairy Queen selling guidelines.,42.952,No significant ambiguities encountered; transcript contained a single straightforward order.,0,Sprinkles,Large Vanilla Cone,Large Vanilla Cone,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,,0.0,264642fc-afd1-4711-a49a-1903a2f2d43e,"Operator: It's a wonderful day at Dairy Queen, how can we make it yours?
Customer: Can I get a large vanilla cone please?
Operator: Large vanilla cone. Alright, anything else?
Customer: Nope.
Operator: $4.64 is your total. Would you like to round up to note in the pocket?
Customer: To what?
Operator: To note in the pocket.
Customer: No, thank you.
Operator: Alright, pull forward.",False,False,False,False,,
